line_name,from_stop_id,to_stop_id,avg_seconds,num_samples
7,U269Z1P,U508Z1P,180,7
7,U134Z2P,U1401Z2P,60,7
7,U1401Z2P,U691Z2P,60,6
7,U691Z2P,U775Z2P,60,6
7,U775Z2P,U755Z2P,60,6
7,U755Z2P,U144Z2P,120,6
7,U144Z2P,U135Z2P,60,6
7,U135Z2P,U652Z2P,60,6
7,U652Z2P,U72Z2P,120,6
7,U1108Z1P,U299Z1P,60,7
7,U299Z1P,U849Z1P,60,7
7,U849Z1P,U921Z1P,60,6
7,U921Z1P,U921Z12P,60,6
7,U921Z12P,U469Z2P,120,6
7,U469Z2P,U34Z2P,120,6
7,U34Z2P,U1074Z1P,180,6
7,U1074Z1P,U529Z2P,240,7
7,U529Z2P,U12Z2P,120,6
7,U12Z2P,U1075Z2P,60,6
7,U1075Z2P,U348Z2P,120,6
7,U348Z2P,U134Z2P,60,6
7,U508Z2P,U269Z2P,60,7
7,U269Z2P,U680Z2P,60,7
7,U680Z2P,U473Z2P,120,6
7,U473Z2P,U605Z2P,120,6
7,U605Z2P,U713Z2P,120,6
7,U713Z2P,U848Z2P,60,6
7,U848Z2P,U1108Z1P,60,6
7,U878Z2P,U876Z4P,120,7
7,U876Z4P,U522Z2P,60,7
7,U522Z2P,U724Z2P,60,6
7,U724Z2P,U83Z2P,120,6
7,U83Z2P,U482Z6P,60,6
7,U482Z6P,U463Z2P,120,6
7,U463Z2P,U508Z2P,120,6
7,U805Z1P,U25Z1P,120,7
7,U25Z1P,U1040Z1P,180,6
7,U1040Z1P,U901Z1P,60,6
7,U901Z1P,U237Z8P,120,6
7,U237Z8P,U878Z2P,60,6
7,U289Z3P,U289Z1P,60,6
7,U289Z1P,U240Z1P,60,6
7,U240Z1P,U254Z1P,60,6
7,U254Z1P,U805Z1P,60,6
7,U876Z1P,U878Z1P,120,7
7,U878Z1P,U237Z7P,60,6
7,U237Z7P,U901Z2P,180,6
7,U901Z2P,U1040Z2P,120,6
7,U1040Z2P,U25Z2P,120,6
7,U25Z2P,U805Z2P,60,6
7,U805Z2P,U254Z2P,60,7
7,U254Z2P,U240Z2P,120,6
7,U240Z2P,U289Z4P,120,6
7,U508Z1P,U463Z1P,60,6
7,U463Z1P,U482Z5P,120,6
7,U482Z5P,U83Z1P,60,6
7,U83Z1P,U724Z1P,120,6
7,U724Z1P,U522Z1P,60,6
7,U522Z1P,U876Z1P,60,6
8,U144Z5P,U755Z1P,60,5
8,U755Z1P,U775Z1P,60,6
8,U775Z1P,U691Z1P,60,6
8,U691Z1P,U1401Z1P,60,6
8,U1401Z1P,U134Z1P,60,6
8,U134Z1P,U348Z1P,120,6
8,U348Z1P,U1075Z1P,60,6
8,U1075Z1P,U12Z3P,60,7
8,U12Z3P,U529Z5P,120,7
8,U529Z5P,U529Z1P,120,6
8,U529Z1P,U655Z1P,120,6
8,U655Z1P,U816Z1P,60,6
8,U816Z1P,U758Z1P,60,6
8,U758Z1P,U854Z1P,60,6
8,U854Z1P,U689Z1P,120,7
8,U689Z1P,U32Z1P,120,6
8,U32Z1P,U480Z2P,120,6
8,U480Z2P,U87Z2P,60,6
8,U87Z2P,U717Z4P,180,6
8,U717Z4P,U231Z2P,60,7
8,U231Z2P,U324Z2P,120,7
8,U324Z2P,U262Z2P,60,6
8,U262Z2P,U692Z2P,60,6
8,U692Z2P,U163Z2P,180,6
8,U163Z2P,U321Z4P,120,6
8,U321Z4P,U350Z2P,120,7
8,U350Z2P,U906Z4P,60,6
8,U906Z4P,U126Z3P,120,6
8,U126Z2P,U906Z3P,60,7
8,U906Z3P,U350Z1P,60,7
8,U144Z4P,U755Z1P,60,1
8,U324Z1P,U231Z1P,60,7
8,U231Z1P,U717Z1P,60,7
8,U717Z1P,U439Z1P,120,6
8,U439Z1P,U87Z1P,120,6
8,U87Z1P,U480Z1P,120,6
8,U480Z1P,U32Z2P,120,6
8,U32Z2P,U689Z2P,120,7
8,U689Z2P,U854Z2P,60,6
8,U854Z2P,U758Z2P,60,6
8,U758Z2P,U816Z2P,60,6
8,U816Z2P,U655Z2P,120,6
8,U655Z2P,U529Z2P,180,6
8,U529Z2P,U12Z2P,120,7
8,U12Z2P,U1075Z2P,60,6
8,U1075Z2P,U348Z2P,120,6
8,U348Z2P,U134Z2P,60,6
8,U134Z2P,U1401Z2P,60,6
8,U1401Z2P,U691Z2P,60,6
8,U691Z2P,U775Z2P,60,6
8,U775Z2P,U755Z2P,60,6
8,U755Z2P,U144Z6P,180,6
8,U350Z1P,U321Z3P,60,6
8,U321Z3P,U163Z1P,180,6
8,U163Z1P,U692Z1P,120,6
8,U692Z1P,U324Z1P,120,6
8,U755Z2P,U144Z3P,120,1
9,U539Z2P,U483Z2P,60,13
9,U483Z2P,U809Z4P,120,13
9,U809Z4P,U481Z2P,120,12
9,U481Z2P,U4Z2P,60,13
9,U4Z2P,U1040Z2P,180,13
9,U1040Z2P,U25Z2P,120,18
9,U25Z2P,U805Z2P,60,19
9,U805Z2P,U254Z2P,60,18
9,U254Z2P,U240Z2P,120,18
9,U240Z2P,U289Z2P,60,18
9,U289Z2P,U580Z2P,60,20
9,U580Z2P,U567Z2P,60,18
9,U567Z2P,U865Z2P,120,18
9,U865Z2P,U394Z2P,60,18
9,U394Z2P,U395Z2P,60,19
9,U395Z2P,U113Z2P,60,18
9,U113Z2P,U236Z2P,120,18
9,U236Z2P,U47Z2P,60,18
9,U47Z2P,U612Z12P,120,20
9,U612Z3P,U47Z1P,60,20
9,U47Z1P,U236Z1P,60,20
9,U236Z1P,U113Z1P,60,18
